#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0500.7-3840|A3301     | |05 00 46.5 -38 40 41|0.0536|  5|  7.370|  10.0|  0.920| 13.5|  0.979|  3.1|   |40
RXCJ0501.3-0332|A0531     | |05 01 19.4 -03 32 33|0.0913| 10|  3.994|  23.4|  1.436| 10.0|  1.528|  6.0|   |E
RXCJ0501.6+0110|          | |05 01 39.1 +01 10 30|0.1248| 15|  4.398|  16.3|  2.951| 10.0|  3.106|  7.9|B  |E
RXCJ0507.6-0238|A0535     | |05 07 36.0 -02 38 24|0.1241|  2|  3.326|  21.7|  2.224| 13.0|  2.246|  9.7|B  |E
RXCJ0507.7-0915|A0536     | |05 07 45.7 -09 15 16|0.0398|  1|  5.056|  13.7|  0.347| 14.0|  0.369|  7.9|   |1
RXCJ0510.2-4519|A3322     | |05 10 13.9 -45 19 16|0.2000|  1|  4.792|  14.3|  8.118|  6.5|  9.020|  3.4|   |181
RXCJ0510.7-0801|          | |05 10 44.7 -08 01 06|0.2195| 14|  6.565|  10.7| 13.238| 10.0| 13.935|  8.3|   |E
RXCJ0514.6-4903|A3330     | |05 14 36.3 -49 03 18|0.0912|  2|  4.130|  17.9|  1.481| 14.0|  1.511|  2.4|   |17,32,182
RXCJ0516.6-5430|S0520     | |05 16 38.0 -54 30 51|0.2952|  8|  5.816|  21.5| 20.983| 16.5| 21.195|  6.2|   |E
RXCJ0521.4-4049|A3336     | |05 21 29.6 -40 49 29|0.0756|  2|  4.899|  19.4|  1.214| 15.0|  1.239|  3.3|   |17,69
RXCJ0525.5-3135|A3341     | |05 25 32.8 -31 35 44|0.0380| 64| 11.350|   7.3|  0.707| 16.5|  0.760|  1.8|   |2
RXCJ0525.8-4715|A3343     | |05 25 51.6 -47 15 02|0.1913|  5|  3.814|  11.1|  5.922|  7.5|  6.368|  4.0|   |E
RXCJ0528.2-2942|          | |05 28 15.4 -29 42 57|0.1582|  2|  3.864|  37.6|  4.159| 12.0|  4.244|  1.8|B  |E
RXCJ0528.9-3927|RBS 0653  | |05 28 56.3 -39 27 46|0.2839|  4|  5.888|   8.6| 19.801| 11.0| 20.413|  2.1|X  |E
RXCJ0530.6-2226|A0543     | |05 30 38.4 -22 26 54|0.1706| 11|  5.818|  11.2|  7.202| 14.0|  7.275|  2.6|   |E,1
RXCJ0532.3-1131|A0545     | |05 32 23.1 -11 31 50|0.1540|  2|  8.490|   8.7|  8.569|  7.5|  9.738| 11.2|   |1
RXCJ0532.9-3701|          | |05 32 55.5 -37 01 28|0.2708|  9|  3.299|  11.7| 10.187|  7.0| 10.954|  2.7|   |E
RXCJ0533.3-3619|S0535     | |05 33 18.5 -36 19 32|0.0479|  4|  3.734|  11.9|  0.372| 13.0|  0.392|  2.9|   |E
RXCJ0538.2-2037|A3358     | |05 38 16.3 -20 37 23|0.0915|  0|  4.601|  10.4|  1.661|  6.5|  1.931|  4.0|   |106
